Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,11/06/2018,11/06/2018,PAYPAL *RWDIRECTINC,Repair & Maintenance,Sale,-58.63,
0850,11/05/2018,11/06/2018,SEARS WARRANTY,Bills & Utilities,Sale,-53.30,
0850,11/05/2018,11/06/2018,USPS PO 3316950438,Office & Shipping,Sale,-6.70,
0850,11/04/2018,11/05/2018,NJM INSURANCE COMPANY,Bills & Utilities,Sale,-142.00,
0850,11/04/2018,11/05/2018,APL* ITUNES.COM/BILL,Merchandise & Inventory,Sale,-5.32,
0850,11/03/2018,11/05/2018,CRAYOLA EXPERIENCE,Entertainment,Sale,-9.30,
0850,11/03/2018,11/05/2018,CRAYOLA EXPERIENCE,Entertainment,Sale,-10.15,
0850,11/04/2018,11/05/2018,Amazon.com*M82MM5M22,Merchandise & Inventory,Sale,-6.46,
0850,11/04/2018,11/05/2018,Amazon.com*M86M43MY0,Merchandise & Inventory,Sale,-11.72,
0850,11/04/2018,11/05/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-2.00,
0850,11/03/2018,11/04/2018,THRIFT BOOKS GLOBAL  LLC,Merchandise & Inventory,Sale,-4.98,
0850,11/02/2018,11/04/2018,ITALKBB,Bills & Utilities,Sale,-10.75,
0850,11/01/2018,11/04/2018,MTA MVM*N301-7 AV,Travel,Sale,-40.00,
0850,11/03/2018,11/04/2018,HIS*HISCOX INC,Bills & Utilities,Sale,-36.88,
0850,11/01/2018,11/02/2018,DIGITALOCEAN.COM,Office & Shipping,Sale,-5.00,
0850,11/01/2018,11/02/2018,GOOGLE *GSUITE_entrepi,Professional Services,Sale,-5.00,
0850,10/30/2018,10/31/2018,PAYNOW *FIRST ENERGY COR,Bills & Utilities,Sale,-77.98,
0850,10/29/2018,10/30/2018,AMZN Mktp US*M82OQ50S1,Merchandise & Inventory,Sale,-14.99,
0850,10/29/2018,10/30/2018,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-39.95,
0850,10/28/2018,10/29/2018,AMZN Mktp US*M86YW6EJ0,Merchandise & Inventory,Sale,-6.59,
0850,10/29/2018,10/29/2018,COMCAST,Bills & Utilities,Sale,-78.23,
0850,10/26/2018,10/29/2018,NM ONLINE,Merchandise & Inventory,Sale,-371.06,
0850,10/26/2018,10/29/2018,GAP ONLINE,Merchandise & Inventory,Return,98.63,
0850,10/28/2018,10/29/2018,AMZN Mktp US*M83ZW4EH1,Merchandise & Inventory,Sale,-8.99,
0850,10/26/2018,10/28/2018,UNIQLO BRIDGEWATER #39,Merchandise & Inventory,Return,63.89,
0850,10/26/2018,10/28/2018,SMILE WORKS PEDIATRIC DEN,Health & Wellness,Sale,-1121.00,
0850,10/26/2018,10/28/2018,PARAMOUNT AMB. ANESTHESI,Health & Wellness,Sale,-1400.00,
0850,10/26/2018,10/26/2018,AUTOMATIC PAYMENT - THANK,,Payment,3346.08,
0850,10/24/2018,10/26/2018,HOMEDEPOT.COM,Repair & Maintenance,Sale,-6.38,
0850,10/24/2018,10/25/2018,CIGNA PHARM OF PA,Health & Wellness,Sale,-1.09,
0850,10/24/2018,10/24/2018,AMZNFreeTime*M876A6JW2,Merchandise & Inventory,Sale,-10.65,
0850,10/21/2018,10/23/2018,GAP ONLINE,Merchandise & Inventory,Sale,-113.60,
0850,10/22/2018,10/23/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-27.56,
0850,10/21/2018,10/23/2018,EXXONMOBIL    47983937,Gas,Sale,-32.82,
0850,10/22/2018,10/23/2018,Scholastic Reading Club,Education,Sale,-24.00,
0850,10/23/2018,10/23/2018,LOWES #02552*,Repair & Maintenance,Return,11.71,
0850,10/21/2018,10/22/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
0850,10/18/2018,10/21/2018,STARBUCKS STORE 16676,Food & Drink,Sale,-3.10,
0850,10/19/2018,10/21/2018,Wikimedia8776009454,Gifts & Donations,Sale,-50.00,
0850,10/18/2018,10/19/2018,AMZN Mktp US*M822B9C41,Merchandise & Inventory,Sale,-12.77,
0850,10/18/2018,10/19/2018,CIGNA PHARM OF PA,Health & Wellness,Sale,-17.18,
0850,10/18/2018,10/19/2018,AMZN Mktp US*M812W5CN1,Merchandise & Inventory,Sale,-39.55,
0850,10/18/2018,10/19/2018,AMZN Mktp US*M825X5OH1,Merchandise & Inventory,Sale,-6.25,
0850,10/18/2018,10/19/2018,AMZN Mktp US*M81HN34C2,Merchandise & Inventory,Sale,-19.18,
0850,10/16/2018,10/18/2018,STARBUCKS STORE 17738,Food & Drink,Sale,-3.10,
0850,10/17/2018,10/18/2018,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-89.50,
0850,10/16/2018,10/16/2018,AMZN Mktp US*M815X9F72,Merchandise & Inventory,Sale,-99.99,
0850,10/14/2018,10/15/2018,LOWES #02552*,Repair & Maintenance,Sale,-11.71,
0850,10/14/2018,10/15/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
0850,10/13/2018,10/14/2018,Amazon.com*MT3ZP4UK1,Merchandise & Inventory,Sale,-31.98,
0850,10/13/2018,10/14/2018,BRANCHBURG SPORTS COMP,Entertainment,Sale,-10.00,
0850,10/11/2018,10/12/2018,J CREW,Merchandise & Inventory,Sale,-98.17,
0850,10/11/2018,10/12/2018,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-49.80,
0850,10/10/2018,10/11/2018,AMZN Mktp US*MT03O99D2,Merchandise & Inventory,Sale,-19.65,
0850,10/08/2018,10/09/2018,HIS*HISCOX INC,Bills & Utilities,Sale,-36.88,
0850,10/08/2018,10/09/2018,AMZN Mktp US*MT0OH6SB0,Merchandise & Inventory,Sale,-14.95,
0850,10/05/2018,10/08/2018,GAP ONLINE,Merchandise & Inventory,Sale,-34.47,
0850,10/06/2018,10/07/2018,CRICKET WIRELESS,Bills & Utilities,Sale,-100.00,
0850,10/05/2018,10/07/2018,Amazon.com*MT7NK26O1,Merchandise & Inventory,Sale,-186.34,
0850,10/04/2018,10/07/2018,NEXTDIRECTORY.COM,Merchandise & Inventory,Sale,-43.00,
0850,10/04/2018,10/05/2018,NJM INSURANCE COMPANY,Bills & Utilities,Sale,-142.00,
0850,10/03/2018,10/05/2018,THE PORTASOFT CO INC,Repair & Maintenance,Sale,-28.79,
0850,10/02/2018,10/03/2018,ITALKBB,Bills & Utilities,Sale,-12.57,
0850,10/02/2018,10/03/2018,PAYNOW *FIRST ENERGY COR,Bills & Utilities,Sale,-129.97,
0850,10/02/2018,10/03/2018,GOOGLE *GSUITE_entrepi,Professional Services,Sale,-5.00,
0850,10/01/2018,10/02/2018,DIGITALOCEAN.COM,Office & Shipping,Sale,-5.00,
0850,10/01/2018,10/02/2018,BESTBUYCOM805565480681,Merchandise & Inventory,Sale,-138.56,
0850,09/28/2018,09/30/2018,UNITED      0162925224658,Travel,Return,120.00,
0850,09/28/2018,09/30/2018,LMR CLEANOUT &amp; DISPOSAL,Bills & Utilities,Sale,-99.00,
0850,09/29/2018,09/30/2018,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-85.50,
0850,09/28/2018,09/30/2018,Amazon.com*MT4O34VA0,Merchandise & Inventory,Sale,-11.73,
0850,09/29/2018,09/30/2018,COMCAST,Bills & Utilities,Sale,-78.25,
0850,09/27/2018,09/28/2018,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-39.95,
0850,09/28/2018,09/28/2018,AMZN Mktp US*MT1945V50,Merchandise & Inventory,Sale,-17.59,
0850,09/27/2018,09/28/2018,HUNTERDON FAMILY MEDICINE,Health & Wellness,Sale,-25.00,
0850,09/25/2018,09/27/2018,LIFETOUCH PRESCHOOL PORTR,Merchandise & Inventory,Sale,-119.98,
0850,09/25/2018,09/27/2018,UNITED      0162925223344,Travel,Return,120.00,
0850,09/26/2018,09/26/2018,AUTOMATIC PAYMENT - THANK,,Payment,3144.73,
0850,09/23/2018,09/26/2018,NEXTDIRECTORY.COM,Merchandise & Inventory,Sale,-59.00,
0850,09/25/2018,09/25/2018,aliexpress,Merchandise & Inventory,Sale,-16.80,
0850,09/23/2018,09/25/2018,EXXONMOBIL    47983937,Gas,Sale,-36.66,
0850,09/25/2018,09/25/2018,Amazon.com*MT3827010,Merchandise & Inventory,Sale,-21.24,
0850,09/24/2018,09/25/2018,TRANS BRIDGE TOURS C,Travel,Sale,-285.50,
0850,09/22/2018,09/24/2018,EUROPAN CAFE,Food & Drink,Sale,-9.50,
0850,09/22/2018,09/24/2018,STARBUCKS STORE 07890,Food & Drink,Sale,-2.89,
0850,09/23/2018,09/24/2018,AMZN Mktp US*MT15F3EY0,Merchandise & Inventory,Sale,-27.84,
0850,09/23/2018,09/24/2018,APL* ITUNES.COM/BILL,Merchandise & Inventory,Sale,-10.64,
0850,09/23/2018,09/24/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-2.00,
0850,09/22/2018,09/23/2018,M&amp;M'S WORLD NY 6118,Food & Drink,Sale,-22.75,
0850,09/23/2018,09/23/2018,AMZNFreeTime*MT55V9PL1,Merchandise & Inventory,Sale,-10.65,
0850,09/22/2018,09/23/2018,SQ *OOTOYA TIMES SQUARE,Food & Drink,Sale,-56.62,
0850,09/21/2018,09/23/2018,USPS PO 3316950438,Office & Shipping,Sale,-0.63,
0850,09/19/2018,09/20/2018,Scholastic Reading Club,Education,Sale,-18.00,
0850,09/19/2018,09/20/2018,LOWES #00907*,Repair & Maintenance,Sale,-106.09,
0850,09/18/2018,09/19/2018,UNITED      0162417636920,Travel,Sale,-379.00,
0850,09/18/2018,09/19/2018,SHOPRITE CLINTON S1,Food & Drink,Sale,-57.07,
0850,09/18/2018,09/19/2018,UNITED      0162417634503,Travel,Sale,-142.00,
0850,09/18/2018,09/19/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-2.61,
0850,09/17/2018,09/19/2018,UNITED      0162925224658,Travel,Sale,-120.00,
0850,09/17/2018,09/19/2018,UNITED      0162925223344,Travel,Sale,-120.00,
0850,09/16/2018,09/17/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-2.00,
0850,09/16/2018,09/17/2018,LOWES #02552*,Repair & Maintenance,Sale,-0.98,
0850,09/14/2018,09/16/2018,AMZN Mktp US*MT9NT4OX1,Merchandise & Inventory,Sale,-71.87,
0850,09/13/2018,09/14/2018,LOWES #02552*,Repair & Maintenance,Sale,-100.79,
0850,09/13/2018,09/14/2018,LOWES #02552*,Repair & Maintenance,Sale,-31.43,
0850,09/12/2018,09/13/2018,Kindle Svcs,Merchandise & Inventory,Sale,-2.12,
0850,09/10/2018,09/12/2018,LIN'S PALACE,Food & Drink,Sale,-40.98,
0850,09/11/2018,09/12/2018,MCDONALD'S F11829,Food & Drink,Sale,-4.56,
0850,09/10/2018,09/12/2018,LA PARKING,Travel,Sale,-16.00,
0850,09/10/2018,09/12/2018,MPA STREET METERS,Travel,Sale,-1.00,
0850,09/10/2018,09/11/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
0850,09/08/2018,09/09/2018,TARGET        00012245,Merchandise & Inventory,Sale,-37.50,
0850,09/08/2018,09/09/2018,AFM OF PISCATAWAY,Food & Drink,Sale,-110.30,
0850,09/07/2018,09/09/2018,HUNTERDON COUNTY YMCA,Gifts & Donations,Sale,-192.00,
0850,09/08/2018,09/09/2018,HUAWEI DEVICE USA,Office & Shipping,Return,113.12,
0850,09/06/2018,09/07/2018,SQ *HYKEL LAW,Professional Services,Sale,-103.00,
0850,09/05/2018,09/06/2018,CRICKET WIRELESS,Bills & Utilities,Sale,-100.00,
0850,09/05/2018,09/06/2018,ANGELOVA LAW FIRM LLC OP,Professional Services,Sale,-100.00,
0850,09/05/2018,09/06/2018,LIBERTY FUEL STOP &amp; MART,Gas,Sale,-46.01,
0850,09/04/2018,09/06/2018,THE PORTASOFT CO INC,Repair & Maintenance,Sale,-28.79,
0850,09/04/2018,09/05/2018,PAYNOW *FIRST ENERGY COR,Bills & Utilities,Sale,-163.37,
0850,09/03/2018,09/05/2018,OAKWOOD LANES,Entertainment,Sale,-26.00,
0850,09/04/2018,09/05/2018,NJM INSURANCE COMPANY,Bills & Utilities,Sale,-142.00,
0850,09/03/2018,09/04/2018,FANDANGO.COM,Entertainment,Sale,-25.36,
0850,09/02/2018,09/04/2018,CRAYOLA EXPERIENCE,Entertainment,Sale,-3.38,
0850,09/02/2018,09/03/2018,HIS*HISCOX INC,Bills & Utilities,Sale,-36.88,
0850,09/02/2018,09/03/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-2.00,
0850,09/02/2018,09/03/2018,GOOGLE*GSUITE ENTREPID,Professional Services,Sale,-5.00,
0850,09/02/2018,09/03/2018,ITALKBB,Bills & Utilities,Sale,-12.29,
0850,09/01/2018,09/02/2018,COSTCO WHSE #1236,Merchandise & Inventory,Return,319.86,
0850,09/01/2018,09/02/2018,DIGITALOCEAN.COM,Office & Shipping,Sale,-5.00,
0850,08/30/2018,09/02/2018,STARBUCKS STORE 16676,Food & Drink,Sale,-2.34,
0850,08/30/2018,08/31/2018,TRANS BRIDGE TOURS C,Travel,Sale,-44.15,
0850,08/29/2018,08/29/2018,COMCAST,Bills & Utilities,Sale,-78.25,
0850,08/26/2018,08/28/2018,HANNA ANDERSSON HQ,Merchandise & Inventory,Sale,-107.74,
0850,08/27/2018,08/28/2018,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-39.95,
0850,08/26/2018,08/27/2018,COSTCO WHSE #1236,Merchandise & Inventory,Sale,-733.14,
0850,08/26/2018,08/27/2018,COSTCO WHSE #1236,Merchandise & Inventory,Sale,-12.75,
0850,08/26/2018,08/27/2018,UNITED      0162414323212,Travel,Sale,-801.41,
0850,08/26/2018,08/26/2018,AUTOMATIC PAYMENT - THANK,,Payment,1787.49,
0850,08/24/2018,08/26/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-78.10,
0850,08/25/2018,08/26/2018,SCHUMACHER GINSENG,Food & Drink,Sale,-172.12,
0850,08/23/2018,08/24/2018,APL* ITUNES.COM/BILL,Merchandise & Inventory,Sale,-10.64,
0850,08/23/2018,08/24/2018,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-99.40,
0850,08/21/2018,08/23/2018,HOMEDEPOT.COM,Repair & Maintenance,Sale,-50.08,
0850,08/21/2018,08/22/2018,AMZN Mktp US,Merchandise & Inventory,Sale,-9.99,
0850,08/21/2018,08/22/2018,ITALKBB,Bills & Utilities,Sale,-5.97,
0850,08/21/2018,08/22/2018,SPEEDWAY 03458,Gas,Sale,-45.03,
0850,08/19/2018,08/20/2018,PAYPAL *ZHAORUI,Merchandise & Inventory,Sale,-36.69,
0850,08/20/2018,08/20/2018,GOOGLE *SimulationCurr,Office & Shipping,Sale,-2.99,
0850,08/19/2018,08/20/2018,AMZN Mktp US,Merchandise & Inventory,Sale,-3.29,
0850,08/17/2018,08/19/2018,AMZN Mktp US,Merchandise & Inventory,Sale,-37.70,
0850,08/16/2018,08/17/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
