Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
74,11/03/2020,11/04/2020,Amazon web services,Office & Shipping,Sale,-0.8,
74,11/04/2020,11/04/2020,DMI* DELL CORP BUS,Office & Shipping,Sale,-106.61,
74,11/03/2020,11/04/2020,CCM*SEARS WARRANTY,Bills & Utilities,Sale,-53.3,
74,11/03/2020,11/04/2020,GROCERY WEEE!,Food & Drink,Sale,-40.1,
74,11/02/2020,11/03/2020,ITALKBB,Bills & Utilities,Sale,-11.2,
74,11/02/2020,11/03/2020,D J*WALL-ST-JOURNAL,Bills & Utilities,Sale,-9.99,
74,11/01/2020,11/02/2020,DIGITALOCEAN.COM,Office & Shipping,Sale,-6,
74,10/29/2020,11/01/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-42,
74,10/31/2020,11/01/2020,MCDONALD'S F11829,Food & Drink,Sale,-14.92,
74,10/29/2020,10/30/2020,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-43.35,
74,10/29/2020,10/30/2020,EXXON NJ CAFE,Food & Drink,Sale,-5.6,
74,10/29/2020,10/30/2020,BEST BUY MHT  00005447,Merchandise & Inventory,Sale,-74.63,
74,10/28/2020,10/29/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-45,
74,10/28/2020,10/28/2020,AMZN Mktp US*2T56Z1UR2,Merchandise & Inventory,Sale,-14.47,
74,10/26/2020,10/28/2020,NEXT DIRECTORY,Merchandise & Inventory,Sale,-88,
74,10/26/2020,10/26/2020,AUTOMATIC PAYMENT - THANK,,Payment,1857.03,
74,10/25/2020,10/26/2020,AMZNFreeTime*2T7TP8220,Merchandise & Inventory,Sale,-3.19,
74,10/26/2020,10/26/2020,Amazon Music*2T3PV0KM0,Merchandise & Inventory,Sale,-4.25,
74,10/23/2020,10/25/2020,HIS*HISCOX INC,Bills & Utilities,Sale,-29,
74,10/22/2020,10/23/2020,Donation to the Wikimedia,Gifts & Donations,Sale,-52,
74,10/22/2020,10/23/2020,EXXON NJ CAFE,Food & Drink,Sale,-5.6,
74,10/21/2020,10/22/2020,FIRSTENERGY/EZPAYRECUR,Bills & Utilities,Sale,-60.91,
74,10/21/2020,10/22/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-45,
74,10/19/2020,10/21/2020,61707 - NORTH GARAGE,Travel,Sale,-25,
74,10/21/2020,10/21/2020,AMZN Mktp US*2T1WM30P2,Merchandise & Inventory,Sale,-36.23,
74,10/20/2020,10/21/2020,WF* WAYFAIR 3388298359,Merchandise & Inventory,Sale,-45.84,
74,10/19/2020,10/20/2020,SPEEDWAY 03482,Gas,Sale,-28.18,
74,10/18/2020,10/19/2020,Amazon.com*2T63Q9PB1,Merchandise & Inventory,Sale,-27.13,
74,10/17/2020,10/19/2020,GSI Bear Mountain #10,Food & Drink,Sale,-20,
74,10/18/2020,10/19/2020,GROCERY WEEE!,Food & Drink,Sale,-50.08,
74,10/17/2020,10/19/2020,CHU'S CAFE,Food & Drink,Sale,-41.5,
74,10/17/2020,10/18/2020,USA*SNACK SODA VENDING,Food & Drink,Sale,-1.1,
74,10/17/2020,10/18/2020,USA*SNACK SODA VENDING,Food & Drink,Sale,-2.6,
74,10/17/2020,10/18/2020,AMZN Mktp US*2T41V44W0,Merchandise & Inventory,Sale,-8.52,
74,10/15/2020,10/16/2020,EXXON NJ CAFE,Food & Drink,Sale,-5.6,
74,10/15/2020,10/16/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-45,
74,10/14/2020,10/15/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-45,
74,10/14/2020,10/15/2020,WALGREENS #19955,Health & Wellness,Sale,-3.72,
74,10/13/2020,10/13/2020,AMZN Mktp US*MK1F47W11,Merchandise & Inventory,Sale,-11.04,
74,10/13/2020,10/13/2020,AMZN Mktp US*MK44A6DZ0,Merchandise & Inventory,Sale,-20.25,
74,10/12/2020,10/13/2020,AMZN Mktp US*MK7356RU1,Merchandise & Inventory,Sale,-325.2,
74,10/10/2020,10/12/2020,MCDONALD'S  F1826,Food & Drink,Sale,-15,
74,10/11/2020,10/12/2020,Amazon Prime*MK5NP39I1,Bills & Utilities,Sale,-13.85,
74,10/11/2020,10/12/2020,MCDONALD'S F23375,Food & Drink,Sale,-4.36,
74,10/12/2020,10/12/2020,Amazon.com*MK6EG46S2,Merchandise & Inventory,Sale,-17.67,
74,10/11/2020,10/12/2020,Prime Video*MK2NC7Q32,Merchandise & Inventory,Sale,-0.99,
74,10/08/2020,10/09/2020,EXXON NJ CAFE,Food & Drink,Sale,-7.2,
74,10/07/2020,10/08/2020,DUNKIN #302617 Q35,Food & Drink,Sale,-5.32,
74,10/06/2020,10/07/2020,AMZN Mktp US*MK2EN95Y1,Merchandise & Inventory,Sale,-35.3,
74,10/06/2020,10/07/2020,AMZN Mktp US*MK3B02P42,Merchandise & Inventory,Sale,-40.5,
74,10/07/2020,10/07/2020,OPTIMUM 7875,Bills & Utilities,Sale,-73.49,
74,10/05/2020,10/06/2020,CCM*SEARS WARRANTY,Bills & Utilities,Sale,-53.3,
74,10/05/2020,10/06/2020,CRICKET WIRELESS,Bills & Utilities,Sale,-100,
74,10/04/2020,10/05/2020,WIGHTMAN FARMS,Food & Drink,Sale,-80,
74,10/04/2020,10/05/2020,OPC*NJM Insurance,Bills & Utilities,Sale,-165,
74,10/02/2020,10/04/2020,ITALKBB,Bills & Utilities,Sale,-10.79,
74,10/03/2020,10/04/2020,MCDONALD'S F25570,Food & Drink,Sale,-13.94,
74,10/03/2020,10/04/2020,Amazon web services,Office & Shipping,Sale,-0.8,
74,10/02/2020,10/04/2020,GROCERY WEEE!,Food & Drink,Sale,-87.21,
74,10/01/2020,10/02/2020,EXXON NJ CAFE,Food & Drink,Sale,-7.15,
74,10/01/2020,10/02/2020,WALGREENS #19955,Health & Wellness,Sale,-15.98,
74,10/01/2020,10/02/2020,DIGITALOCEAN.COM,Office & Shipping,Sale,-6,
74,10/01/2020,10/02/2020,WALGREENS #19955,Health & Wellness,Sale,-1.79,
74,09/29/2020,10/01/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-42,
74,09/26/2020,09/30/2020,NEXT DIRECTORY,Merchandise & Inventory,Sale,-101,
74,09/29/2020,09/30/2020,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-46.69,
74,09/27/2020,09/28/2020,UNIQLO BRIDGEWATER #39,Merchandise & Inventory,Return,59.7,
74,09/26/2020,09/27/2020,Amazon Music*M401A85K0,Merchandise & Inventory,Sale,-4.25,
74,09/25/2020,09/27/2020,AMZNFreeTime*M43IA0UF1,Merchandise & Inventory,Sale,-5.32,
74,09/25/2020,09/27/2020,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-59.7,
74,09/25/2020,09/25/2020,AUTOMATIC PAYMENT - THANK,,Payment,2021.62,
74,09/24/2020,09/25/2020,Donation to the Wikimedia,Gifts & Donations,Sale,-40,
74,09/23/2020,09/24/2020,HIS*HISCOX INC,Bills & Utilities,Sale,-29,
74,09/22/2020,09/23/2020,FIRSTENERGY/EZPAYRECUR,Bills & Utilities,Sale,-64.85,
74,09/22/2020,09/23/2020,WALMART.COM AV,Merchandise & Inventory,Sale,-373,
74,09/22/2020,09/23/2020,AMZN Mktp US*M412C2EW0,Merchandise & Inventory,Sale,-21.31,
74,09/22/2020,09/23/2020,AMZN Mktp US*M49K81DQ1,Merchandise & Inventory,Sale,-84.76,
74,09/20/2020,09/21/2020,Amazon.com*M40HH0PB2,Merchandise & Inventory,Sale,-24.51,
74,09/19/2020,09/20/2020,GROCERY WEEE!,Food & Drink,Sale,-67.98,
74,09/19/2020,09/20/2020,MCDONALD'S F23375,Food & Drink,Sale,-20.95,
74,09/19/2020,09/20/2020,AMZN Mktp US*M485A61P2,Merchandise & Inventory,Sale,-30.91,
74,09/17/2020,09/18/2020,EXXON NJ CAFE,Food & Drink,Sale,-5.6,
74,09/17/2020,09/17/2020,Amazon.com*MU5C64R90,Merchandise & Inventory,Sale,-38.1,
74,09/16/2020,09/17/2020,TRUMP MAKE AMERICA GREAT,Gifts & Donations,Sale,-20,
74,09/13/2020,09/15/2020,61585 - LIBERTY SCIENCE C,Travel,Sale,-7,
74,09/14/2020,09/14/2020,AMZN Mktp US*M43NR8351,Merchandise & Inventory,Sale,-17.41,
74,09/12/2020,09/13/2020,DUNKIN #339397 Q35,Food & Drink,Sale,-3.5,
74,09/12/2020,09/13/2020,DUNKIN #339397 Q35,Food & Drink,Sale,-2.13,
74,09/12/2020,09/13/2020,GROCERY WEEE!,Food & Drink,Sale,-63.25,
74,09/10/2020,09/11/2020,EXXON NJ CAFE,Food & Drink,Sale,-5.33,
74,09/06/2020,09/11/2020,DUN HUANG,Food & Drink,Sale,-72.24,
74,09/04/2020,09/10/2020,OPC*NJM Insurance,Bills & Utilities,Sale,-165,
74,09/09/2020,09/10/2020,NBPA - PATERSON,Travel,Sale,-6,
74,09/09/2020,09/10/2020,Amazon.com*MU7G08DP2,Merchandise & Inventory,Sale,-38.39,
74,09/09/2020,09/09/2020,Amazon.com*MU42J9QO2,Merchandise & Inventory,Sale,-41.58,
74,09/08/2020,09/09/2020,WALGREENS #19955,Health & Wellness,Sale,-8.29,
74,09/06/2020,09/07/2020,H MART - EDISON,Food & Drink,Sale,-48.87,
74,09/05/2020,09/06/2020,DUNKIN #339397 Q35,Food & Drink,Sale,-5.52,
74,09/05/2020,09/06/2020,CRICKET WIRELESS,Bills & Utilities,Sale,-100,
74,09/04/2020,09/06/2020,AMZN Mktp US*MU2V92601,Merchandise & Inventory,Sale,-10.65,
74,09/05/2020,09/06/2020,AMZN Mktp US*MU6VJ8NP0,Merchandise & Inventory,Sale,-11.72,
74,09/06/2020,09/06/2020,OPTIMUM 7875,Bills & Utilities,Sale,-73.49,
74,09/04/2020,09/06/2020,AMZN Mktp US*MU9E00LC0,Merchandise & Inventory,Sale,-12.77,
74,09/03/2020,09/04/2020,CCM*SEARS WARRANTY,Bills & Utilities,Sale,-53.3,
74,09/03/2020,09/04/2020,AMZN Mktp US*MU59U7E32,Merchandise & Inventory,Sale,-9.99,
74,09/03/2020,09/04/2020,Amazon web services,Office & Shipping,Sale,-0.8,
74,09/02/2020,09/03/2020,ITALKBB,Bills & Utilities,Sale,-10.81,
74,09/01/2020,09/02/2020,DIGITALOCEAN.COM,Office & Shipping,Sale,-6,
74,08/31/2020,09/01/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-42,
74,09/01/2020,09/01/2020,D J*WALL-ST-JOURNAL,Bills & Utilities,Sale,-1,
74,08/31/2020,08/31/2020,PAYPAL *CLAPSQUAREL,Food & Drink,Sale,-90.5,
74,08/29/2020,08/31/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-42,
74,08/30/2020,08/31/2020,MCDONALD'S F11829,Food & Drink,Sale,-21.79,
74,08/31/2020,08/31/2020,APPLE.COM/BILL,Merchandise & Inventory,Sale,-4.25,
74,08/28/2020,08/30/2020,Express Scripts Phrmcy,Health & Wellness,Sale,-22.68,
74,08/27/2020,08/28/2020,MCDONALD'S F1602,Food & Drink,Sale,-10.21,
74,08/27/2020,08/28/2020,CHOP MONTHLY PARKING,Health & Wellness,Sale,-4,
74,08/27/2020,08/28/2020,PB 185 BUERGER CENTER,Health & Wellness,Sale,-40,
74,08/26/2020,08/27/2020,WALGREENS #19955,Health & Wellness,Sale,-9.57,
74,08/26/2020,08/27/2020,THE WINE RACK,Food & Drink,Sale,-49,
74,08/26/2020,08/27/2020,USPS PO 3304661414,Office & Shipping,Sale,-2.89,
74,08/26/2020,08/26/2020,AUTOMATIC PAYMENT - THANK,,Payment,5267.36,
74,08/25/2020,08/26/2020,WALMART.COM AY,Merchandise & Inventory,Sale,-57.58,
74,08/26/2020,08/26/2020,Amazon Music*MU2X13CS1,Merchandise & Inventory,Sale,-4.25,
74,08/24/2020,08/26/2020,SHELL OIL 57546224106,Gas,Sale,-39.7,
74,08/24/2020,08/25/2020,WAWA 8341     00083410,Gas,Sale,-28.35,
74,08/24/2020,08/25/2020,FIRSTENERGY/EZPAYRECUR,Bills & Utilities,Sale,-155.44,
74,08/24/2020,08/24/2020,PAYPAL *EKITCHYOUZI,Repair & Maintenance,Sale,-84.99,
74,08/22/2020,08/24/2020,PP*Borough of Spring Lake,Bills & Utilities,Sale,-20,
74,08/23/2020,08/24/2020,HIS*HISCOX INC,Bills & Utilities,Sale,-29,
74,08/21/2020,08/23/2020,MCDONALD'S F2063,Food & Drink,Sale,-6.92,
74,08/21/2020,08/23/2020,ITALKBB,Bills & Utilities,Sale,-6.17,
74,08/23/2020,08/23/2020,PANERA BREAD #601500 O,Food & Drink,Sale,-28.79,
74,08/22/2020,08/23/2020,NJ EZPASS,Travel,Sale,-50,
74,08/21/2020,08/23/2020,CHOP MONTHLY PARKING,Health & Wellness,Sale,-4,
74,08/20/2020,08/20/2020,AMZN Mktp US*MM7BM00I2,Merchandise & Inventory,Sale,-117.28,
74,08/19/2020,08/20/2020,BEST BUY MHT  00005447,Merchandise & Inventory,Return,239.5,
74,08/19/2020,08/20/2020,CCM*SEARS WARRANTY,Bills & Utilities,Sale,-53.3,
74,08/18/2020,08/19/2020,AMZN Mktp US*MM2FZ14Q0,Merchandise & Inventory,Sale,-15.23,
74,08/15/2020,08/16/2020,AMZN Mktp US*MM11Y1EG1,Merchandise & Inventory,Sale,-38.37,
74,08/12/2020,08/12/2020,GRFRESHMARKET.COM,Food & Drink,Return,7,
74,08/09/2020,08/10/2020,NJ EZPASS,Travel,Sale,-50,
74,08/07/2020,08/09/2020,PANERA BREAD #204405 P,Food & Drink,Sale,-23.48,
74,08/08/2020,08/09/2020,Amazon.com*MF1FK5X52,Merchandise & Inventory,Sale,-23.94,
74,08/07/2020,08/09/2020,NJ EZPASS,Travel,Sale,-50,
74,08/07/2020,08/09/2020,BEST BUY MHT  00004838,Merchandise & Inventory,Sale,-239.5,
74,08/07/2020,08/09/2020,SUBWAY        00506246,Food & Drink,Sale,-10.88,
74,08/07/2020,08/07/2020,GRFRESHMARKET.COM,Food & Drink,Return,4.49,
74,08/06/2020,08/07/2020,BRIGHT HORIZONS BACKUP,Miscellaneous,Sale,-15,
74,08/07/2020,08/07/2020,GRFRESHMARKET.COM,Food & Drink,Sale,-69.93,
74,08/06/2020,08/07/2020,Amazon.com*MF3OL4P80,Merchandise & Inventory,Sale,-13.05,
74,08/06/2020,08/06/2020,Amazon.com*MF9973DZ1,Merchandise & Inventory,Sale,-13.05,
74,08/05/2020,08/06/2020,Amazon.com*MF6QF5E60,Merchandise & Inventory,Sale,-14.14,
74,08/05/2020,08/06/2020,CRICKET WIRELESS,Bills & Utilities,Sale,-100,
74,08/06/2020,08/06/2020,OPTIMUM 7875,Bills & Utilities,Sale,-73.49,
74,08/04/2020,08/05/2020,OPC*NJM Insurance,Bills & Utilities,Sale,-165,
74,08/03/2020,08/04/2020,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-50,
74,08/02/2020,08/04/2020,EXXONMOBIL    47524814,Gas,Sale,-42.15,
