Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,10/25/2019,10/27/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,10/25/2019,10/25/2019,AUTOMATIC PAYMENT - THANK,,Payment,1882.19,
0850,10/24/2019,10/25/2019,Amazon.com*H216D11V3,Merchandise & Inventory,Sale,-20.02,
0850,10/23/2019,10/24/2019,WALGREENS #19955,Health & Wellness,Sale,-1.30,
0850,10/23/2019,10/24/2019,WALGREENS #19955,Health & Wellness,Sale,-5.99,
0850,10/23/2019,10/24/2019,AMZN Mktp US*311OX3DC3,Merchandise & Inventory,Sale,-21.28,
0850,10/23/2019,10/23/2019,AMZN Mktp US*K17EI5JW3,Merchandise & Inventory,Sale,-63.12,
0850,10/22/2019,10/23/2019,AMZN Digital*6R2PD4WB3,Merchandise & Inventory,Sale,-31.98,
0850,10/22/2019,10/23/2019,PAYNOW *FIRST ENERGY COR,Bills & Utilities,Sale,-73.09,
0850,10/22/2019,10/23/2019,RETINA VITREOUS CENTER,Health & Wellness,Sale,-40.00,
0850,10/19/2019,10/21/2019,BELLA'S BURGER SHACK,Food & Drink,Sale,-25.47,
0850,10/19/2019,10/20/2019,WALGREENS #19955,Health & Wellness,Return,15.31,
0850,10/16/2019,10/18/2019,SAINT PETER'S UNIVERSITY,Health & Wellness,Sale,-131.22,
0850,10/15/2019,10/16/2019,Netflix.com,Bills & Utilities,Sale,-17.05,
0850,10/14/2019,10/15/2019,WALGREENS #19955,Health & Wellness,Sale,-36.30,
0850,10/14/2019,10/15/2019,USA*ARAMARK VENDING,Food & Drink,Sale,-1.50,
0850,10/14/2019,10/15/2019,AMZN Mktp US*PS8ZW72U3,Merchandise & Inventory,Sale,-21.99,
0850,10/14/2019,10/15/2019,AMZN Mktp US*IN12G38Q3,Merchandise & Inventory,Sale,-30.71,
0850,10/13/2019,10/14/2019,SQ *FROZENLANDIA,Food & Drink,Sale,-3.32,
0850,10/13/2019,10/14/2019,SQ *FROZENLANDIA,Food & Drink,Sale,-22.23,
0850,10/10/2019,10/11/2019,WWW COSTCO COM,Merchandise & Inventory,Sale,-59.92,
0850,10/09/2019,10/09/2019,IKEA.COM 336422651,Merchandise & Inventory,Sale,-53.29,
0850,10/07/2019,10/08/2019,AMZN Mktp US*AZ57248G3,Merchandise & Inventory,Sale,-20.88,
0850,10/06/2019,10/07/2019,MCDONALD'S F32514,Food & Drink,Sale,-20.86,
0850,10/07/2019,10/07/2019,OPTIMUM 7875,Bills & Utilities,Sale,-68.49,
0850,10/06/2019,10/07/2019,STUDENTS FOR FAIR ADM,Miscellaneous,Sale,-100.00,
