Cleared,4/13/19,"WAL-MART #2582         CLINTON       NJ 
",9.34,,Merchandise
Cleared,4/13/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",77.87,,Merchandise
Cleared,4/7/19,"HAAGEN DAZS 1150       BRIDGEWATER   NJ 
",10.96,,Merchandise
Cleared,4/7/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",91.19,,Merchandise
Cleared,4/3/19,"WHOLEFDS EYE #10385    UPPER ARLINGT OH 
",6.98,,Merchandise
Cleared,4/1/19,"WAL-MART #2582         CLINTON       NJ 
",62.1,,Merchandise
Cleared,3/31/19,"99 RANCH #1601         EDISON        NJ 
",147.72,,Merchandise
Cleared,3/30/19,"WAL-MART #2582         CLINTON       NJ 
",23.41,,Merchandise
Cleared,3/30/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",49.27,,Merchandise
Cleared,3/26/19,"WAL-MART #2582         CLINTON       NJ 
",27.37,,Merchandise
Cleared,3/26/19,"WAL-MART #2582         CLINTON       NJ 
",75.16,,Merchandise
Cleared,3/24/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",95.52,,Merchandise
Cleared,3/22/19,"HOUSTON 0387A          HOUSTON       TX 
",15.13,,Merchandise
Cleared,3/16/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",84.13,,Merchandise
Cleared,3/11/19,"WAL-MART #2582         CLINTON       NJ 
",11.85,,Merchandise
Cleared,3/10/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",96.64,,Merchandise
Cleared,3/3/19,"TARGET        00012245 BRIDGEWATER   NJ 
",3.57,,Merchandise
Cleared,3/3/19,"WHOLEFDS BRW#10639     BOUND BROOK   NJ 
",41.26,,Merchandise
Cleared,2/26/19,"WAL-MART #2582         CLINTON       NJ 
",1.09,,Merchandise
Cleared,2/24/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",13.98,,Merchandise
Cleared,2/24/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",84.18,,Merchandise
Cleared,2/23/19,"WAL-MART #2582         CLINTON       NJ 
",3.28,,Merchandise
Cleared,2/23/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",60.32,,Merchandise
Cleared,2/19/19,"WAL-MART #2582         CLINTON       NJ 
",35.78,,Merchandise
Cleared,2/18/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",75.59,,Merchandise
Cleared,2/17/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",173.38,,Merchandise
Cleared,2/9/19,"WAL-MART #2582         CLINTON       NJ 
",37.11,,Merchandise
Cleared,2/9/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",92.85,,Merchandise
Cleared,2/3/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",146.05,,Merchandise
Cleared,2/2/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",113.55,,Merchandise
Cleared,1/27/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",26.03,,Merchandise
Cleared,1/19/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",94,,Merchandise
Cleared,1/13/19,"AFM OF PISCATAWAY      PISCATAWAY    NJ 
",57.84,,Merchandise
Cleared,1/12/19,"TJ MAXX #405           CLINTON       NJ 
",13.84,,Merchandise
Cleared,1/12/19,"SHOPRITE CLINTON S1    CLINTON       NJ 
",93.45,,Merchandise
Cleared,1/6/19,"HANNA ANDERSSON BRIDGE BRIDGEWATER   NJ 
",16.6,,Merchandise
Cleared,1/6/19,"99 RANCH #1601         EDISON        NJ 
",140.84,,Merchandise
Cleared,1/1/19,"WHOLEFDS MBN 10312     VAUXHALL      NJ 
",48.86,,Merchandise
,,,,,
,,,,,
,,,,,
Cleared,12/6/19,INTERNAL MEDICINE ASSO FAR HILLS     NJ                 ,25,,Health Care
Cleared,12/6/19,CHOP PHYSICIANS ONLINE PHILADELPHIA  PA                 ,192.3,,Health Care
Cleared,10/26/19,"ADVOCARE SINATRA & PEN BERNARDSVILLE NJ 
",25,,Health Care
Cleared,10/14/19,"CHOP MONTHLY PARKING   PHILADELPHIA  PA 
",4,,Health Care
Cleared,10/8/19,"UNIVERSITY CHILDRENS E E BRUNSWICK   NJ 
",40,,Health Care
Cleared,9/14/19,"RITE AID STORE - 2614  BASKING RIDGE NJ 
",7.99,,Health Care
Cleared,8/27/19,"UNIVERSITY CHILDRENS E E BRUNSWICK   NJ 
",40,,Health Care
Cleared,8/23/19,"HUNTERDON FAMILY DENTA LEBANON       NJ 
",87.4,,Health Care
Cleared,8/20/19,"HUNTERDON PEDIATRIC AS CLINTON       NJ 
",20,,Health Care
Cleared,8/4/19,"CVS/PHARMACY #06063    BEDMINSTER    NJ 
",10.61,,Health Care
Cleared,7/23/19,"HUNTERDON PEDIATRIC AS CLINTON       NJ 
",25,,Health Care
Cleared,7/23/19,"ADVOCARE PEDIATRIC EYE MORRISTOWN    NJ 
",40,,Health Care
Cleared,7/23/19,"PEDIATRIC EYE PHYSICIA MORRISTOWN    NJ 
",80,,Health Care
Cleared,7/6/19,"HUNTERDON PEDIATRIC AS FLEMINGTON    NJ 
",25,,Health Care
Cleared,6/18/19,"HUNTERDON PEDIATRIC AS CLINTON       NJ 
",25,,Health Care
