Type,Post Date,Description,Amount,Category,
Sale,2/9/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,3/1/2017,MEXICAN FIESTA         SAN DIEGO     CA,-15.06,Dining Out
Sale,3/10/2017,RABARCLAYS130111165156,-8.8,Dining Out
Sale,3/10/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,3/14/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,3/16/2017,RABARCLAYS130111165156,-4.75,Dining Out
Sale,3/16/2017,RABARCLAYS130111165156,-4.75,Dining Out
Sale,3/17/2017,RABARCLAYS130111165156,-7.43,Dining Out
Sale,3/17/2017,SUBWAY        03402690,-5.5,Dining Out
Sale,3/21/2017,Yong Kang Street,-27.51,Dining Out
Sale,3/22/2017,RABARCLAYS130111165156,-9.56,Dining Out
Sale,3/22/2017,RABARCLAYS130111165156,-7.17,Dining Out
Sale,3/23/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,3/24/2017,RABARCLAYS130111165156,-8.45,Dining Out
Sale,3/26/2017,HUDSON NEWS  ST795     ELIZABETH     NJ,-2.69,Dining Out
Sale,3/26/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,3/28/2017,CAJUN MARKET           NEW ORLEANS   LA,-8.02,Dining Out
Sale,3/29/2017,CAJUN MARKET           NEW ORLEANS   LA,-8.02,Dining Out
Sale,3/30/2017,HUDSONNEWS  ST1192     KENNER        LA,-21.2,Dining Out
Sale,3/6/2017,PANERA BREAD #601492,-28.92,Dining Out
Sale,3/7/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,3/8/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,3/8/2017,SUBWAY        03402690,-5.5,Dining Out
Sale,3/8/2017,RABARCLAYS130111165156,-7.25,Dining Out
Sale,3/9/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,3/9/2017,RABARCLAYS130111165156,-5.72,Dining Out
Sale,4/10/2017,PANERA BREAD #601492,-18.46,Dining Out
